Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_d	p.value	N	Dominant	q.value
GLCA	HC	38	SpA	56	1.53018018531638	1.38601976195756	1.71411879912148	1.5413869131514	0.564602763342367	0.690541033239936	1.10879600747518	0.224246908865312	0.270514433162494	94	HC	0.592555425022605
Spermidine	HC	38	SpA	56	1.08077836446242	1.01148175108352	1.18239477666745	1.09802138217756	0.297121981008803	0.425511255402414	0.929640322555119	0.182773373337364	0.354992768585439	94	HC	0.61955135758304
Dopamine	HC	38	SpA	56	-0.714261999129191	-0.882219134068967	-0.546478154120526	-0.546478154120526	0.805228570163385	0.944419287698208	0.924710115400564	0.188491796379619	0.357668659615893	94	SpA	0.61955135758304
DCA	HC	38	SpA	56	3.15760983570492	3.20481426575471	3.15585369317358	3.15585369317358	0.282368947149025	0.157842317766595	-0.936051945186014	0.217829174925408	0.353511524050793	94	SpA	0.61955135758304
Valeric_acid	HC	38	SpA	56	3.22016494612791	3.1541000148729	3.38353190731196	3.38353190731196	0.3373075644234	0.35386313507705	0.913509422258185	0.190224499988908	0.363649709885697	94	SpA	0.61955135758304
Valerate	HC	38	SpA	56	-2.56312909626437	-2.61239765816196	-2.54561952214512	-2.66266023732506	0.239581577594511	0.233123429585135	0.98914060513693	0.208993570804686	0.325648102183298	94	HC	0.61955135758304
isoButyrate	HC	38	SpA	56	-2.81572987473299	-2.76764070729774	-2.80575004267388	-2.80575004267388	0.242447651789149	0.257166044274873	-0.92074240506898	0.19132327780194	0.359864556511285	94	SpA	0.61955135758304
LCA	HC	38	SpA	56	2.33032707549861	2.40187680831947	2.31979284286194	2.31979284286194	0.439195500361566	0.434667779911388	-0.778359314335637	0.163919032805222	0.438681138410061	94	SpA	0.695839047133201
Skatol	HC	38	SpA	56	-0.271292644995287	-0.107853351167018	-0.18960145393182	0.0173255308683699	1.01850800427877	0.966505702784849	-0.779344639703427	0.165466448262498	0.438173161306699	94	SpA	0.695839047133201
Putrescine	HC	38	SpA	56	0.807086505453385	0.724695070742489	0.946494742606119	0.864720610369355	0.552292123212634	0.818870487616669	0.582579363788645	0.113868844395698	0.561601653425709	94	HC	0.717602112710629
Serotonin	HC	38	SpA	56	-0.728170393421969	-0.665634861296409	-0.753090118909502	-0.753090118909502	0.502302355048995	0.417410276063085	-0.633291130953569	0.137905607540368	0.528621176202204	94	SpA	0.717602112710629
Aminovaleric_acid	HC	38	SpA	56	1.71865257154359	1.66836134710413	1.71411879912148	1.71411879912148	0.414913364591433	0.396900583168087	0.586873036234844	0.124408905307457	0.559001503933521	94	SpA	0.717602112710629
Cholic_acid	HC	38	SpA	56	1.03830785351503	1.11891509476382	0.946494742606119	1.09802138217756	0.634953159075161	0.576466622964628	-0.626695406317138	0.134194798569207	0.532779205590248	94	SpA	0.717602112710629
Indole_acrylic_acid	HC	38	SpA	56	-1.91353465693917	-2.01844525949449	-1.75912440413533	-2.04509874008936	0.679573067353799	0.6977880185312	0.726587412421	0.151929808729725	0.469573513549799	94	HC	0.717602112710629
isoValerate	HC	38	SpA	56	-2.47052927159922	-2.43953190902772	-2.54561952214512	-2.54561952214512	0.227512826329797	0.23742739117886	-0.63688445997076	0.132756346249687	0.525977861809671	94	SpA	0.717602112710629
Butyrate	HC	38	SpA	56	-1.85837652585474	-1.89388175551577	-1.89295426316557	-1.89295426316557	0.252004388837075	0.228171545008953	0.696194462628685	0.149154366022756	0.488482918081426	94	SpA	0.717602112710629
Lactic_acid	HC	38	SpA	56	1.18517550362179	1.10929348059585	1.29069227474939	1.05707764020907	0.648869929219419	0.679336892057476	0.545916080967109	0.11372333376077	0.586605891543984	94	HC	0.729293811108737
Phenylacetic_acid	HC	38	SpA	56	0.201214623727669	0.1526005107449	0.306507843170677	0.130924276799746	0.481883084490633	0.490488968282604	0.476542881421501	0.0998141743011431	0.634978115467132	94	HC	0.748948546448412
Indole_ethanol	HC	38	SpA	56	-1.09553972497366	-1.06402967963491	-1.09085266128636	-1.09085266128636	0.273197583512852	0.341319880386487	-0.495470767006154	0.0998116774800671	0.621483451233269	94	SpA	0.748948546448412
UDCA	HC	38	SpA	56	2.71231248769109	2.66762176649985	2.95190864993729	2.95190864993729	0.529521838885651	0.658162027079457	0.363518474706901	0.073299775292396	0.717077240044677	94	SpA	0.824638826051379
Tryptophan	HC	38	SpA	56	1.67741442353763	1.66607425811853	1.65241326682162	1.71411879912148	0.239005431216102	0.269429966090649	0.214326309335216	0.0440178859235576	0.830802718709174	94	SpA	0.932120123429805
E2_3Pentanedione	HC	38	SpA	56	0.23705026153777	0.23346304908919	0.0173255308683699	0.21707876761401	0.674064184856332	0.499295075443429	0.0280040685889386	0.00622787305589857	0.977746407327833	94	SpA	0.98654535596994
Fumaric_acid	HC	38	SpA	56	0.755188517939852	0.74598414232671	0.778783577594223	0.778783577594223	0.383261353510787	0.453433400395469	0.10602199727086	0.0215760306323206	0.915807480527207	94	SpA	0.98654535596994
Phenyllactic_acid	HC	38	SpA	56	0.572627191476955	0.570319656407535	0.383559125265062	0.453166985751935	0.659113349233535	0.63369184159677	0.0169182177902032	0.00358292676086837	0.98654535596994	94	SpA	0.98654535596994
Indole_propionic_acid	HC	38	SpA	56	0.625456668969712	0.619924081460979	0.541561685611158	0.541561685611158	0.476356005963389	0.626069912633388	0.0485785954809055	0.00969607290440988	0.961361914745884	94	SpA	0.98654535596994
Succinic_acid	HC	38	SpA	56	1.73079207596574	1.7344298884924	1.59070773452176	1.59070773452176	0.583735110950907	0.534122884746309	-0.030677892442945	0.00655923341631813	0.975608182840567	94	SpA	0.98654535596994
