Feature	beta	se	W	p.value	q.value	diffabn
Firmicutes_species_incertae_sedis__ext_mOTU_v26_26969_	-0.286435060233845	0.14559861855709	-1.9672924308793	0.0491495071694	0.395716544902349	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12309_	-0.538328766083081	0.272485447621703	-1.9756239123289	0.0481973882908623	0.395716544902349	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_17428_	-0.176551083065858	0.0891898066520964	-1.97949843926148	0.0477599151907565	0.395716544902349	FALSE
Coprobacillus_cateniformis__ref_mOTU_v25_03929_	0.111846235683298	0.0570488494726429	1.96053446681571	0.0499333535172529	0.396938557073859	FALSE
Gordonibacter_urolithinfaciens__mags_db_all_144_	0.139071123809152	0.0716795982250102	1.94017722270977	0.0523581556472913	0.407286121191358	FALSE
Bacteroides_cellulosilyticus_fragilis__ref_mOTU_v25_01597_	0.221835221329048	0.114421942311381	1.93874720921412	0.0525321270963376	0.407286121191358	FALSE
Eggerthella_sp___ref_mOTU_v25_03631_	-0.253891352844454	0.132736740444414	-1.91274361562898	0.0557808825967696	0.422503794909409	FALSE
Clostridiales_sp___ref_mOTU_v25_03634_	0.449108338131343	0.234855077661748	1.91227859581633	0.0558404697093646	0.422503794909409	FALSE
Eubacterium__siraeum__ref_mOTU_v25_02370_	0.498423353496026	0.264124088931837	1.88708025652539	0.0591495318007123	0.428521265461303	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13863_	-0.205191286810568	0.108393699342439	-1.89301858000367	0.0583553986407705	0.428521265461303	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_16287_	-0.154654027944007	0.0814689634281086	-1.89831834647657	0.0576541585974822	0.428521265461303	FALSE
Firmicutes_species_incertae_sedis__ext_mOTU_v26_26597_	-0.306908689311367	0.162774924308142	-1.88547892506079	0.0593652071578557	0.428521265461303	FALSE
uncultured_Eubacterium_sp___ref_mOTU_v25_08868_	-0.201932834374064	0.107623974885424	-1.87628114078709	0.0606166852904078	0.428934993659198	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13415_	-0.399246831655095	0.212928204955863	-1.87503027951536	0.0607885580185806	0.428934993659198	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12873_	-0.452918134865339	0.2448625730424	-1.849682984369	0.0643592543748192	0.443714170994155	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13187_	-0.341257475056768	0.184390136279435	-1.8507360639921	0.0642075330813133	0.443714170994155	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_16425_	0.104533365601727	0.0566502982205953	1.84523945831099	0.0650027129481883	0.443714170994155	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_18135_	-0.438153404234175	0.239126177544719	-1.8323104928662	0.0669051746943655	0.451789781807113	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17626_	0.209751609456897	0.114851801063318	1.82628054166308	0.0678080146980539	0.453015247131679	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12411_	-0.465781244696808	0.256436576576367	-1.81636040737776	0.0693151044450521	0.457531496677828	FALSE
Bacteroides_eggerthii__ref_mOTU_v25_01577_	-0.538142498399985	0.297974553440367	-1.80600152659574	0.0709181011111641	0.457531496677828	FALSE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_28927_	-0.229646551347405	0.127373639187259	-1.80293624970382	0.0713982271885783	0.457531496677828	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13006_	0.223505877679013	0.123735887209151	1.80631409949177	0.0708692907141839	0.457531496677828	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12272_	-0.460655135963614	0.258135021206494	-1.78455109969412	0.0743341592381835	0.471533858601811	FALSE
Clostridium_species_incertae_sedis__meta_mOTU_v25_12696_	-0.128281403465554	0.0733198055069199	-1.74961461747804	0.0801848356967553	0.484282732565521	FALSE
Atopobiaceae_species_incertae_sedis__meta_mOTU_v25_13944_	-0.328235351874942	0.186693186150387	-1.75815389218619	0.0787213280664173	0.484282732565521	FALSE
Streptococcus_gordonii_cristatus__ref_mOTU_v25_03970_	0.10057369662697	0.0571434826022986	1.76002042659759	0.0784043432519852	0.484282732565521	FALSE
Oscillibacter_sp__57_20__meta_mOTU_v25_12282_	-0.25003477261869	0.141971388036828	-1.76116311938733	0.0782107982762278	0.484282732565521	FALSE
Alistipes_putredinis__ref_mOTU_v25_03683_	-0.516220907409442	0.295062855851294	-1.74952860779469	0.080199688195564	0.484282732565521	FALSE
Clostridia_species_incertae_sedis__meta_mOTU_v25_14185_	-0.220538851343976	0.127054347090087	-1.73578359493363	0.0826021058695758	0.49403926177232	FALSE
Ruminococcus__torques__ref_mOTU_v25_03703_	0.255343833638601	0.148624369928201	1.71804821619736	0.0857878210069576	0.503502351330555	FALSE
Eubacterium_sp__CAG_38__ref_mOTU_v25_07679_	-0.385524856946508	0.223859328735553	-1.72217463138171	0.0850378888861427	0.503502351330555	FALSE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17930_	-0.17098177277364	0.0998864613955627	-1.71176123755682	0.0869406781630549	0.505543943392579	FALSE
Erysipelotrichaceae_species_incertae_sedis__ext_mOTU_v26_16223_	0.131857633688143	0.077616751242235	1.69882958997635	0.0893512965956905	0.506270137766079	FALSE
Collinsella_aerofaciens__ref_mOTU_v25_03626_	-0.349434911142895	0.20659748144626	-1.69138030481649	0.0907641914157982	0.506270137766079	FALSE
Anaerostipes_caccae__ref_mOTU_v25_03440_	0.110459954546663	0.0653747508169153	1.68964245624447	0.091096378292304	0.506270137766079	FALSE
uncultured_Clostridium_sp___ref_mOTU_v25_11605_	-0.157475651349814	0.0929013513163542	-1.69508461522338	0.0900593703040568	0.506270137766079	FALSE
Bacteroidales_species_incertae_sedis__meta_mOTU_v25_12262_	-0.250640877434922	0.14744886955635	-1.69984943383466	0.0891592503597422	0.506270137766079	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12587_	-0.236836576793932	0.142522922963834	-1.66174375229471	0.0965641645110534	0.52543808000456	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12463_	-0.421596573606424	0.254152802326363	-1.65883110375877	0.0971498308221909	0.52543808000456	FALSE
Firmicutes_sp___ref_mOTU_v25_02743_	0.156556185610121	0.0944025073884854	1.65839012057022	0.0972387493767698	0.52543808000456	FALSE
3576_143_bin_2_clean__mags_db_all_128_	0.148602464533208	0.089837655906115	1.65412223899191	0.0981026783594345	0.52543808000456	FALSE
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12286_	-0.367167596413345	0.222384592632412	-1.65104781795855	0.098728811211048	0.52543808000456	FALSE
Alistipes_species_incertae_sedis__ext_mOTU_v26_26506_	-0.214577845158882	0.130683581642302	-1.64196483186549	0.100597292569789	0.52645916444856	FALSE
Mogibacterium_species_incertae_sedis__meta_mOTU_v25_12290_	-0.11505351946399	0.0700533298875244	-1.64237045760304	0.100513253460434	0.52645916444856	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13923_	-0.130846355170031	0.0799078776793905	-1.63746502810421	0.101533340434268	0.526966428039013	FALSE
Bifidobacterium_catenulatum_kashiwanohense__ref_mOTU_v25_02701_	-0.455060557689007	0.281693680281337	-1.61544468173557	0.106214430730955	0.542298069097882	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17708_	0.118448470656117	0.0731793772177916	1.61860451891519	0.105532382196689	0.542298069097882	FALSE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26928_	-0.174047731705005	0.108177435379269	-1.60890976103099	0.107636074817441	0.545124636978652	FALSE
Clostridium_species_incertae_sedis__ext_mOTU_v26_17404_	-0.198950083754022	0.125231846427794	-1.58865407984487	0.112138511525706	0.563383881905145	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26645_	0.0999594038181002	0.0635330411120617	1.57334517706761	0.115638913871714	0.576359031043147	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28740_	-0.135326774869399	0.0866940021900211	-1.56097044144739	0.118530725254743	0.57966407823503	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26595_	0.119843163287714	0.076736793919651	1.56174316343212	0.118348506033016	0.57966407823503	FALSE
Intestinimonas_butyriciproducens__ref_mOTU_v25_03928_	-0.141791453135082	0.090968681083836	-1.55868427953142	0.119071124350826	0.57966407823503	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13701_	-0.224662982405943	0.145447350313051	-1.54463441185002	0.122434717662405	0.586938951847253	FALSE
Bacteroides_species_incertae_sedis__ext_mOTU_v26_18132_	-0.295340949562887	0.190805538389439	-1.547863610542	0.121655137476315	0.586938951847253	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_16264_	0.110421990573822	0.0723577338999748	1.52605650594954	0.12699579268542	0.590765613381063	FALSE
uncultured_Blautia_sp___ref_mOTU_v25_03662_	-0.208022511607307	0.136106548512911	-1.52837988972716	0.126418244912862	0.590765613381063	FALSE
Clostridium_phoceensis__ref_mOTU_v25_08865_	-0.287061069230916	0.188028373550396	-1.52669016814092	0.126838073384144	0.590765613381063	FALSE
Lactococcus_lactis__ref_mOTU_v25_01300_	0.0817649726542543	0.0531858686025631	1.53734393745172	0.124209107291028	0.590765613381063	FALSE
Eubacterium_sp__CAG_180__ref_mOTU_v25_07675_	0.43285576497847	0.285755046470466	1.51477907503274	0.129828361288987	0.593469078820502	FALSE
Blautia_hydrogenotrophica__ref_mOTU_v25_03685_	0.11294739553954	0.0748604700911966	1.50877219181158	0.131357009484156	0.593469078820502	FALSE
Bacteroides_massiliensis__ref_mOTU_v25_02135_	-0.437590602007024	0.289870168099604	-1.50960895657486	0.131143234588155	0.593469078820502	FALSE
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12331_	-0.409462532538072	0.270124039666857	-1.51583151593268	0.129561960726575	0.593469078820502	FALSE
Clostridium_sp___ref_mOTU_v25_03676_	0.103523743926201	0.0692220573044804	1.49553116387224	0.1347758729664	0.604566058734994	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14425_	-0.1970012820013	0.132071832275552	-1.49162223774014	0.135798205117533	0.604831722083762	FALSE
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12898_	0.142975852576468	0.0969846882674517	1.47421057004573	0.140424904795348	0.606974995395041	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12635_	-0.314473678596699	0.212387254600134	-1.48066172421111	0.138696738383029	0.606974995395041	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12284_	-0.366249000762894	0.248385774960648	-1.47451681087985	0.140342494832492	0.606974995395041	FALSE
Parabacteroides_species_incertae_sedis__ext_mOTU_v26_26689_	-0.230412668146608	0.157828047664273	-1.45989684062199	0.144318427676342	0.606974995395041	FALSE
Prevotella_sp___ref_mOTU_v25_03648_	-0.420552638193052	0.284258170415627	-1.47947423139375	0.139013613453014	0.606974995395041	FALSE
Clostridiaceae_species_incertae_sedis__ext_mOTU_v26_16176_	0.0952927569725232	0.0652873366647741	1.45959020294878	0.144402733412738	0.606974995395041	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12437_	-0.500357024933539	0.343297867851375	-1.45750111430974	0.144978103995631	0.606974995395041	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12887_	-0.22349227258658	0.153238006430328	-1.45846502308938	0.144712409259875	0.606974995395041	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12556_	-0.286118768768046	0.194522391531346	-1.47087832159384	0.141324026300615	0.606974995395041	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_17479_	-0.125849802806265	0.0866883297294014	-1.45175023211437	0.14657106655731	0.609580329788019	FALSE
Firmicutes_bacterium_ADurb_Bin467__meta_mOTU_v25_12694_	-0.199317036069105	0.138675285692753	-1.43729313463041	0.150634718785547	0.622359232877127	FALSE
Clostridium_sp__CAG_167__ref_mOTU_v25_07613_	-0.233079411669038	0.164847692581877	-1.41390763812646	0.157389022990899	0.629097433632102	FALSE
Streptococcus_oralis_pseudopneumoniae__ref_mOTU_v25_00296_	0.0938366370347926	0.0665283297466189	1.41047636987402	0.158399069070088	0.629097433632102	FALSE
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12396_	-0.416880225234838	0.296967207744884	-1.40379211698339	0.160380762065453	0.629097433632102	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13168_	-0.263446287969674	0.188071800564689	-1.40077506132589	0.16128134843116	0.629097433632102	FALSE
Bacteroides_sp___ref_mOTU_v25_03475_	-0.276783336659586	0.194430180703563	-1.42356158729072	0.154573422094421	0.629097433632102	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16452_	0.0896068083562581	0.0636887393467229	1.40694900347197	0.159442511182655	0.629097433632102	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12301_	-0.322719504207261	0.228423136683396	-1.41281443243012	0.157710293557192	0.629097433632102	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12690_	-0.237530781422018	0.168231901099676	-1.41192472931327	0.15797212543085	0.629097433632102	FALSE
Faecalicoccus_pleomorphus__ref_mOTU_v25_07086_	0.101977575645775	0.0727075275989706	1.40257245725983	0.160744369796898	0.629097433632102	FALSE
Eubacterium_sp__CAG_202__meta_mOTU_v25_12308_	0.440301245789272	0.317619968819446	1.38625177574891	0.165670036619878	0.63439501827612	FALSE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_26976_	-0.109613806030516	0.0788844918559668	-1.38954822996967	0.164666105643755	0.63439501827612	FALSE
Clostridiales_bacterium__mags_db_all_53_	0.107708622665557	0.0775643542431689	1.38863558804195	0.164943589879758	0.63439501827612	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_17374_	0.0879835031445377	0.0636688866670094	1.38189165462708	0.167004970754769	0.635631040206029	FALSE
Bacteroides_finegoldii__ref_mOTU_v25_03474_	-0.234596408127481	0.170383395775475	-1.3768736505089	0.168551315028242	0.637651962877929	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12251_	0.298202731127578	0.217590691445312	1.37047558949702	0.170538490276244	0.64130641852384	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16248_	-0.169288979131575	0.124381330977412	-1.36104813963053	0.173498476898223	0.648242997862646	FALSE
Clostridium_species_incertae_sedis__ext_mOTU_v26_17323_	-0.109630711785904	0.0807265162763324	-1.35805082199547	0.174447558342018	0.648242997862646	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13690_	0.123715512838837	0.091413398029012	1.35336302452703	0.17593968387098	0.649941891005739	FALSE
Clostridium_sp___ref_mOTU_v25_03621_	0.166569562920593	0.123478934999309	1.34897148992681	0.177346123697448	0.651306232058465	FALSE
Bacteria_sp___ref_mOTU_v25_03594_	-0.265410001965809	0.197464960229223	-1.34408657443687	0.178920392990986	0.653267481385692	FALSE
uncultured_Clostridium_sp___ref_mOTU_v25_11607_	0.107558368890372	0.0807889501773253	1.33135000088861	0.183073872989557	0.656013250339022	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13659_	-0.192541694417328	0.144142581266163	-1.33577248808799	0.181623647958967	0.656013250339022	FALSE
uncultured_Eubacterium_sp___meta_mOTU_v25_13514_	-0.192691601768581	0.146028057386205	-1.31955190815805	0.186984668488352	0.656013250339022	FALSE
Fusicatenibacter_saccharivorans__ref_mOTU_v25_02680_	-0.392861802375549	0.294766746377532	-1.33278874636822	0.182601139811277	0.656013250339022	FALSE
Clostridiales_Family_XIII__Incertae_Sedis_species_incertae_sedis__ext_mOTU_v26_17436_	-0.132372289270172	0.100150352626694	-1.32173562846638	0.186256200211733	0.656013250339022	FALSE
