Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
X3576_121_bin_27_clean__mags_db_all_113_	HC	40	SpA	89	1.025	1.21348314606742	0.5	1	1.80437502497935	2.909513822681	1749.5	0.0333834134984407	0.868975733379478	129	SpA	0.934982177461334
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12303_	HC	40	SpA	89	18.15	10.4943820224719	0	0	53.5391301903427	37.4915516530378	1804.5	0.082272031774733	0.861538750705436	129	SpA	0.934982177461334
Collinsella_species_incertae_sedis__ext_mOTU_v26_17334_	HC	40	SpA	89	0.825	1.07865168539326	0	0	1.69293403327644	2.65956557927795	1752	0.0489259332741987	0.868897613523817	129	SpA	0.934982177461334
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13140_	HC	40	SpA	89	0.525	0.853932584269663	0	0	1.75393330867569	2.98690536797229	1754.5	0.0571201600837409	0.87008102848354	129	SpA	0.934982177461334
Bittarella_massiliensis__ref_mOTU_v25_04646_	HC	40	SpA	89	1	1.0561797752809	1	1	0.877058019307029	1.08039923767473	1808	0.0255100372921973	0.877763848479165	129	SpA	0.941044498020687
Eubacterium_ramulus__ref_mOTU_v25_03570_	HC	40	SpA	89	4.325	5.8876404494382	3	2	5.30789204380778	8.80913549861113	1809.5	0.0914511242266241	0.881373869290477	129	HC	0.942722398475429
Roseburia_species_incertae_sedis__ext_mOTU_v26_17371_	HC	40	SpA	89	1.5	1.31460674157303	0	0	3.02976685233158	3.44962285691553	1803.5	0.0258714042237299	0.885356264843963	129	SpA	0.94478990299321
Alistipes_indistinctus__ref_mOTU_v25_11860_	HC	40	SpA	89	2.25	2.48314606741573	0	0	6.59350885146588	5.52496885953907	1755.5	0.0184277153555577	0.891046830976744	129	SpA	0.946480620000643
Faecalicatena_contorta__ref_mOTU_v25_03445_	HC	40	SpA	89	1.075	0.550561797752809	0	0	2.72111873674913	0.72317538352891	1804.5	0.148311757579423	0.890084249771128	129	SpA	0.946480620000643
Eggerthellales_species_incertae_sedis__meta_mOTU_v25_13811_	HC	40	SpA	89	1.375	1.32584269662921	0	0	4.67775696850641	5.08512822958656	1761.5	0.00459860471874818	0.897383510637275	129	SpA	0.951020226215595
Parabacteroides_merdae__ref_mOTU_v25_05401_	HC	40	SpA	89	9.025	9.58426966292135	5.5	4	11.6849399019773	13.4888918851806	1756.5	0.0200313938051943	0.906261285199821	129	HC	0.958225808433755
Bacteroidales_sp___ref_mOTU_v25_03666_	HC	40	SpA	89	0.225	0.224719101123595	0	0	0.42290206176626	0.446012866425807	1796	0.000297083866702975	0.912075343602762	129	SpA	0.958714773920612
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12470_	HC	40	SpA	89	2	2.55056179775281	0	0	5.02812602089996	6.56265473576027	1762.5	0.0416517419387732	0.921281225264275	129	SpA	0.958714773920612
Pseudoflavonifractor_capillosus__ref_mOTU_v25_02969_	HC	40	SpA	89	0.525	0.49438202247191	0	0	0.960435264573255	0.930830463833457	1798.5	0.0151226307360661	0.90904734550972	129	SpA	0.958714773920612
Bacteroides_faecis_thetaiotaomicron__ref_mOTU_v25_01657_	HC	40	SpA	89	4.85	7.48314606741573	2.5	2	6.63150986404477	13.1573625772715	1800.5	0.105244975189617	0.918093773802953	129	HC	0.958714773920612
Sutterella_wadsworthensis__ref_mOTU_v25_04772_	HC	40	SpA	89	3.45	2.24719101123596	0	0	7.41429665388396	6.87763321287399	1796.5	0.0790084682681551	0.913416930411174	129	SpA	0.958714773920612
Clostridiales_species_incertae_sedis__ext_mOTU_v26_16417_	HC	40	SpA	89	0.375	0.460674157303371	0	0	0.585618235669551	0.977661632478242	1797	0.0453591839253746	0.917483412076516	129	SpA	0.958714773920612
Clostridiales_species_incertae_sedis__ext_mOTU_v26_18011_	HC	40	SpA	89	0.85	1.24719101123595	0	0	1.35021365830632	2.3802258242578	1762	0.0867516759560036	0.920525923299191	129	SpA	0.958714773920612
Coriobacteriia_species_incertae_sedis__ext_mOTU_v26_26765_	HC	40	SpA	89	0.475	0.51685393258427	0	0	1.08574681848309	1.32384048364942	1793.5	0.015477199587012	0.923527367063863	129	SpA	0.958887649136128
Ruthenibacterium_lactatiformans__ref_mOTU_v25_04716_	HC	40	SpA	89	4.425	4.46067415730337	1	1	10.2278842086042	10.271381446187	1798	0.0016148307940376	0.926027907187383	129	SpA	0.959323292614345
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16311_	HC	40	SpA	89	0.525	0.438202247191011	0	0	1.0618682133693	0.737857096594519	1766.5	0.0473298785210535	0.935166004135517	129	SpA	0.966617775575052
Anaerotruncus_colihominis__ref_mOTU_v25_03438_	HC	40	SpA	89	0.7	1.04494382022472	0	0	1.2444749691006	2.43511299140284	1791.5	0.0745974110281804	0.948420081299691	129	SpA	0.969449351395028
Ruminococcus_lactaris__ref_mOTU_v25_01595_	HC	40	SpA	89	3.625	4.19101123595506	0.5	0	5.89083381847791	7.14123175728361	1792.5	0.0387247429777756	0.947601375226146	129	HC	0.969449351395028
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13390_	HC	40	SpA	89	5.075	5.23595505617978	0	0	10.0852456334578	12.6374465846458	1768	0.00627406493308303	0.941520801516097	129	SpA	0.969449351395028
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12256_	HC	40	SpA	89	0.625	0.955056179775281	0	0	1.33373391418459	3.21541073425928	1769.5	0.0551096730496573	0.946991158946646	129	SpA	0.969449351395028
Coprococcus_catus__ref_mOTU_v25_11851_	HC	40	SpA	89	7.45	7.8876404494382	6	7	5.64755449684833	7.10063729893821	1794	0.0303704993659847	0.945060425101519	129	SpA	0.969449351395028
Bifidobacterium_pseudocatenulatum__ref_mOTU_v25_02700_	HC	40	SpA	89	3	5.41573033707865	0	0	7.41446956797039	18.4716053522722	1788.5	0.0703042204105513	0.959296158407044	129	SpA	0.971946217638785
Phocea_massiliensis__ref_mOTU_v25_05236_	HC	40	SpA	89	0.575	0.561797752808989	0	0	0.747217059048663	0.690109612172642	1770	0.00865670809529908	0.956557953032261	129	SpA	0.971946217638785
Butyricicoccus_sp___ref_mOTU_v25_02967_	HC	40	SpA	89	0.65	0.730337078651685	1	1	0.622237484550302	1.04189561665069	1790.5	0.039936893019719	0.954272352619724	129	SpA	0.971946217638785
Acinetobacter_sp___ref_mOTU_v25_03673_	HC	40	SpA	89	0.475	1.17977528089888	0	0	1.21923683570439	4.10255407629534	1787.5	0.0935906165765303	0.958109244142916	129	SpA	0.971946217638785
Blautia_obeum_wexlerae__ref_mOTU_v25_02154_	HC	40	SpA	89	41.8	45.6179775280899	38	32	31.9713012335141	41.6291816403463	1789.5	0.0455044916461258	0.963441461900342	129	HC	0.97400551301767
Bacteroides_species_incertae_sedis__ext_mOTU_v26_18052_	HC	40	SpA	89	3	2.69662921348315	0	0	6.4410542217233	7.33516513785419	1787	0.0199133503335774	0.969162629051092	129	SpA	0.977645452937754
Firmicutes_sp___ref_mOTU_v25_02374_	HC	40	SpA	89	6.175	3.55056179775281	0	1	11.0983655530316	6.55052259531297	1786	0.14664926773684	0.976123055592383	129	SpA	0.982516874733818
Eggerthellaceae_species_incertae_sedis__ext_mOTU_v26_17307_	HC	40	SpA	89	0.75	1	0	0	1.67561699313784	2.2962419891482	1776	0.0545458204985376	0.982993423646856	129	SpA	0.987276619392594
Azospirillum_sp__CAG_239__ref_mOTU_v25_07592_	HC	40	SpA	89	3.9	3.40449438202247	0	0	12.2092860834148	11.3003611176445	1782.5	0.0198530469514062	0.988402746674051	129	SpA	0.990551448297255
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13304_	HC	40	SpA	89	0.675	0.359550561797753	0	0	1.63906633835805	0.869262893219359	1779.5	0.125134211136872	1	129	SpA	1
