Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Roseburia_inulinivorans__ref_mOTU_v25_00860_	Non_responder	15	Responder	49	9.66666666666667	17.5714285714286	3	8	16.7275079975926	23.0081507296871	242	0.153333521928284	0.0468748197493015	64	Responder	0.458458883306015
Oscillibacter_sp__57_20__ref_mOTU_v25_10413_	Non_responder	15	Responder	49	0.4	1.28571428571429	0	0	1.12122382116278	2.54132511366282	259.5	0.162317190134201	0.0493298926956432	64	Responder	0.463152881420205
Eubacterium_species_incertae_sedis__meta_mOTU_v25_12314_	Non_responder	15	Responder	49	0.533333333333333	2.55102040816327	0	1	1.30201309334357	5.03347636864836	254	0.189131743644926	0.0506320641980917	64	Responder	0.466735573607864
Oscillibacter_species_incertae_sedis__meta_mOTU_v25_13278_	Non_responder	15	Responder	49	0.533333333333333	0.204081632653061	0	0	1.55226409142382	1.17224129762773	424	0.110188361504548	0.0564942579414973	64	Responder	0.474177658802019
Phocea_massiliensis__ref_mOTU_v25_05236_	Non_responder	15	Responder	49	0.2	0.612244897959184	0	0	0.414039335605413	0.785714285714286	261	0.237765925792533	0.0532499317620531	64	Responder	0.474177658802019
Atopobiaceae_species_incertae_sedis__meta_mOTU_v25_13944_	Non_responder	15	Responder	49	0.866666666666667	2.22448979591837	0	0	2.85022973176015	4.50122810150393	263	0.137188453291077	0.0546640434600554	64	Responder	0.474177658802019
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	Non_responder	15	Responder	49	1.53333333333333	4.30612244897959	0	2	3.02056443795022	5.9273521408265	252.5	0.213744826529234	0.055219823490194	64	Responder	0.474177658802019
Eubacterium_species_incertae_sedis__ext_mOTU_v26_16236_	Non_responder	15	Responder	49	3.73333333333333	7.59183673469388	0	3	6.43058169626831	10.7080934487014	248.5	0.164052404343526	0.057050960920953	64	Responder	0.474177658802019
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12284_	Non_responder	15	Responder	49	9	19.2857142857143	3	7	18.6968293721537	30.8760964717584	246	0.151849892611286	0.0538203281928165	64	Responder	0.474177658802019
Ruminococcus_lactaris__ref_mOTU_v25_01595_	Non_responder	15	Responder	49	1.26666666666667	6.06122448979592	0	2	1.94446712004919	8.5474366607415	253.5	0.260698051951522	0.0587616863958852	64	Responder	0.480518951656674
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12265_	Non_responder	15	Responder	49	9.26666666666667	25.1836734693878	0	15	14.1545886889157	31.5678326976131	251	0.231272670430721	0.0597190226775437	64	Responder	0.480595944404995
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26377_	Non_responder	15	Responder	49	0	0.979591836734694	0	0	0	2.80245276438313	292.5	0.167210391929948	0.0616720584730214	64	Responder	0.488558338215966
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12309_	Non_responder	15	Responder	49	2.86666666666667	11	0	2	5.60442002436682	19.5309583311555	257.5	0.195785339249076	0.0668021178946468	64	Responder	0.521056519578245
